,동아리명,학업에의 영향,동아리활동 소요시간,친밀도,동아리방 시설,술문화,기대했던 활동 유무,신입부원과 친해지는 정도,동아리 평균 활동비,친목행사,자유로운 동아리방 사용,수평적인 분위기,소속감,코로나19 대비 방안마련,활동적인 부원들,학교외 활동,초심자를 위한 활동,동아리 장비가 갖춰진 정도,"소모임, 스터디",원하는 활동 진행,외부 지원,학과구성,행사규모,활동기간,회비,추천하는 학년_1,추천하는 학년_2,추천하는 학년_3,추천하는 학년_4,활동 강제 정도_대부분 필참,활동 강제 정도_반드시 한 번 이상 필참,활동 강제 정도_자유,동아리원 실력_골고루 섞여있음,동아리원 실력_모두,동아리원 실력_아마추어,동아리원 실력_입문자,동아리원 실력_프로 수준,활동 빈도_격주에 한 번,활동 빈도_매주 한 번 이상,활동 빈도_정해져 있지 않음,활동 빈도_한 학기에 한 번,활동 빈도_한달에 한 번,활동 장소_자유로움,활동 장소_캠퍼스 내부,활동 장소_캠퍼스 외부,공통 주제_선택 활동 분야/주제가 있음,공통 주제_없음,공통 주제_필수 활동 분야/주제가 있음,성비_남자 비율이 높음,성비_비슷함,성비_여자 비율이 높음,선발절차_1차,선발절차_2차,선발절차_없음,분과,학업에의 영향_분과 평균,동아리활동 소요시간_분과 평균,친밀도_분과 평균,동아리방 시설_분과 평균,술문화_분과 평균,기대했던 활동 유무_분과 평균,신입부원과 친해지는 정도_분과 평균,동아리 평균 활동비_분과 평균,친목행사_분과 평균,자유로운 동아리방 사용_분과 평균,수평적인 분위기_분과 평균,소속감_분과 평균,코로나19 대비 방안마련_분과 평균,활동적인 부원들_분과 평균,학교외 활동_분과 평균,초심자를 위한 활동_분과 평균,동아리 장비가 갖춰진 정도_분과 평균,"소모임, 스터디_분과 평균",원하는 활동 진행_분과 평균,외부 지원_분과 평균,학과구성_분과 평균,행사규모_분과 평균,활동기간_분과 평균,회비_분과 평균,추천하는 학년_1_분과 평균,추천하는 학년_2_분과 평균,추천하는 학년_3_분과 평균,추천하는 학년_4_분과 평균,활동 강제 정도_대부분 필참_분과 평균,활동 강제 정도_반드시 한 번 이상 필참_분과 평균,활동 강제 정도_자유_분과 평균,동아리원 실력_골고루 섞여있음_분과 평균,동아리원 실력_모두_분과 평균,동아리원 실력_아마추어_분과 평균,동아리원 실력_입문자_분과 평균,동아리원 실력_프로 수준_분과 평균,활동 빈도_격주에 한 번_분과 평균,활동 빈도_매주 한 번 이상_분과 평균,활동 빈도_정해져 있지 않음_분과 평균,활동 빈도_한 학기에 한 번_분과 평균,활동 빈도_한달에 한 번_분과 평균,활동 장소_자유로움_분과 평균,활동 장소_캠퍼스 내부_분과 평균,활동 장소_캠퍼스 외부_분과 평균,공통 주제_선택 활동 분야/주제가 있음_분과 평균,공통 주제_없음_분과 평균,공통 주제_필수 활동 분야/주제가 있음_분과 평균,성비_남자 비율이 높음_분과 평균,성비_비슷함_분과 평균,성비_여자 비율이 높음_분과 평균,선발절차_1차_분과 평균,선발절차_2차_분과 평균,선발절차_없음_분과 평균
0,ALC,2.4,1.8,3.0,2.0,2.6,3.0,3.8,8500.0,2.2,3.8,4.4,2.6,2.0,7.0,2.4,2.4,0.6,0.6,2.6,3.2,4.0,45.0,4.5,20000.0,0.8,1.0,0.8,0.8,0.0,0.6,0.4,0.2,0.0,0.6,0.2,0.0,0.4,0.6,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,1.0,언어분과,2.22,1.89,3.11,2.0,3.11,3.11,3.78,10000.0,3.0,3.89,4.0,2.78,2.0,13.33,2.89,2.89,1.33,0.89,2.89,2.89,3.83,39.25,7.97,19600.46,0.67,0.78,0.56,0.56,0.0,0.44,0.56,0.33,0.0,0.44,0.22,0.0,0.33,0.44,0.11,0.0,0.11,0.33,0.67,0.0,0.22,0.11,0.22,0.11,0.78,0.0,0.0,0.0,0.89
1,ECS,1.0,1.0,1.0,2.0,5.0,2.0,3.0,35000.0,4.0,4.0,3.0,3.0,2.0,10.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,30.0,18.0,20000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,언어분과,2.22,1.89,3.11,2.0,3.11,3.11,3.78,10000.0,3.0,3.89,4.0,2.78,2.0,13.33,2.89,2.89,1.33,0.89,2.89,2.89,3.83,39.25,7.97,19600.46,0.67,0.78,0.56,0.56,0.0,0.44,0.56,0.33,0.0,0.44,0.22,0.0,0.33,0.44,0.11,0.0,0.11,0.33,0.67,0.0,0.22,0.11,0.22,0.11,0.78,0.0,0.0,0.0,0.89
2,LECA,2.5,3.0,4.0,2.0,3.5,3.0,3.5,2500.0,4.0,4.0,3.5,3.0,2.0,30.0,3.5,3.5,1.5,1.0,3.5,2.5,3.0,30.0,9.0,20000.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,언어분과,2.22,1.89,3.11,2.0,3.11,3.11,3.78,10000.0,3.0,3.89,4.0,2.78,2.0,13.33,2.89,2.89,1.33,0.89,2.89,2.89,3.83,39.25,7.97,19600.46,0.67,0.78,0.56,0.56,0.0,0.44,0.56,0.33,0.0,0.44,0.22,0.0,0.33,0.44,0.11,0.0,0.11,0.33,0.67,0.0,0.22,0.11,0.22,0.11,0.78,0.0,0.0,0.0,0.89
3,한일문화연구회,2.0,1.0,4.0,2.0,3.0,5.0,5.0,7500.0,4.0,4.0,4.0,3.0,2.0,15.0,4.0,4.0,3.0,2.0,3.0,2.0,4.486301369863014,38.28767123287671,13.222602739726028,16404.109589041094,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,언어분과,2.22,1.89,3.11,2.0,3.11,3.11,3.78,10000.0,3.0,3.89,4.0,2.78,2.0,13.33,2.89,2.89,1.33,0.89,2.89,2.89,3.83,39.25,7.97,19600.46,0.67,0.78,0.56,0.56,0.0,0.44,0.56,0.33,0.0,0.44,0.22,0.0,0.33,0.44,0.11,0.0,0.11,0.33,0.67,0.0,0.22,0.11,0.22,0.11,0.78,0.0,0.0,0.0,0.89
4,ATP,2.0,3.0,4.0,2.3096774193548386,3.0,4.0,4.0,2500.0,4.0,4.367741935483871,5.0,5.0,2.0,10.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,30.0,18.0,35000.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
5,TTP,1.6666666666666667,1.0,2.3333333333333335,1.6666666666666667,2.6666666666666665,3.6666666666666665,3.3333333333333335,2500.0,2.3333333333333335,4.333333333333333,4.666666666666667,3.0,2.0,18.333333333333332,3.3333333333333335,3.6666666666666665,3.3333333333333335,1.0,3.6666666666666665,2.0,5.0,30.0,9.0,20000.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
6,고대농악대,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2500.0,4.0,5.0,5.0,4.0,2.0,10.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,30.0,18.0,5000.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
7,고전기타부,3.1666666666666665,4.666666666666667,4.333333333333333,2.75,3.0833333333333335,4.333333333333333,3.75,20625.0,3.3333333333333335,4.583333333333333,4.583333333333333,3.5,2.0,12.083333333333334,2.6666666666666665,4.833333333333333,4.583333333333333,1.0833333333333333,4.333333333333333,3.1666666666666665,5.0,30.0,9.0,5000.0,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.4166666666666667,0.0,0.0,1.0,0.16666666666666666,0.0,0.25,0.5,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.0,1.0,0.0,0.3333333333333333,0.08333333333333333,0.5,0.0,1.0,0.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
8,관악부,2.8181818181818183,5.0,4.363636363636363,2.5454545454545454,3.6363636363636362,4.545454545454546,4.181818181818182,22500.0,4.090909090909091,4.818181818181818,4.7272727272727275,4.454545454545454,1.4545454545454546,24.09090909090909,2.7534165181224,4.545454545454546,4.363636363636363,1.2727272727272727,4.090909090909091,3.5454545454545454,5.0,50.0,18.0,5000.0,1.0,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.7272727272727273,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9090909090909091,0.0,1.0,0.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
9,관현악단,2.4545454545454546,4.636363636363637,4.0,2.4545454545454546,2.6363636363636362,4.363636363636363,4.2727272727272725,20909.090909090908,3.4545454545454546,4.7272727272727275,4.181818181818182,4.363636363636363,1.7272727272727273,30.90909090909091,2.5454545454545454,3.5454545454545454,4.2727272727272725,1.1818181818181819,3.909090909090909,3.6363636363636362,5.0,50.0,18.0,20000.0,0.9090909090909091,0.8181818181818182,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.09090909090909091,0.6363636363636364,0.0,0.36363636363636365,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182,0.8181818181818182,0.0,0.6363636363636364,0.0,0.36363636363636365,0.0,1.0,0.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
10,국악연구회,2.0,3.0,3.0,2.0,2.0,4.0,3.3333333333333335,2500.0,2.6666666666666665,3.3333333333333335,4.333333333333333,2.6666666666666665,1.6666666666666667,10.0,3.3333333333333335,4.333333333333333,2.6666666666666665,0.3333333333333333,2.6666666666666665,2.6666666666666665,5.0,50.0,9.0,20000.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
11,그루터기,2.5,2.0,3.5,2.5,3.0,4.5,3.5,18750.0,3.5,4.5,4.5,3.0,2.0,22.5,2.6437908496732025,4.5,4.5,1.0,4.0,3.104575163398693,5.0,30.0,9.0,20000.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
12,노래얼,3.0,1.0,4.0,2.0,4.0,3.0,3.0,15000.0,4.0,4.0,5.0,3.0,2.0,30.0,1.0,5.0,4.0,1.0,3.0,3.0,5.0,50.0,18.0,20000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
13,크림슨,2.5,3.0,5.0,2.5,4.0,5.0,5.0,2500.0,4.5,5.0,5.0,5.0,2.5,22.5,5.0,3.5,4.0,1.5,5.0,5.0,4.486301369863014,38.28767123287671,13.222602739726028,16404.109589041094,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,기악예술분과,2.66,4.11,4.0,2.47,3.09,4.32,3.98,17074.47,3.53,4.58,4.55,3.91,1.81,20.74,2.88,4.28,4.21,1.11,4.0,3.37,4.94,41.42,13.97,12506.56,0.89,0.83,0.47,0.47,0.11,0.3,0.6,0.45,0.06,0.28,0.15,0.06,0.02,0.66,0.13,0.13,0.06,0.09,0.91,0.0,0.34,0.09,0.47,0.04,0.85,0.06,0.0,0.02,0.94
